"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
956,"Lending Club","San Francisco","San Francisco Bay Area","California","USA","North America","225","2023-01-12","14","1607","1382","FINANCE","Post-IPO","392",2023,"37.7792588","-122.4193286","Finance / Fintech","Large","Medium (11–25%)","2023-01","Q1","2023-01","14.0","Public","High (>$200M)",1
954,"Greenlight","Atlanta","other","Georgia","USA","North America","104","2023-01-12","21","495","391","FINANCE","Series D","556",2023,"33.7489924","-84.3902644","Finance / Fintech","Medium","Medium (11–25%)","2023-01","Q1","2023-01","21.0","Late Stage","High (>$200M)",0
951,"Tipalti","Agoura Hills","other","California","USA","North America","123","2023-01-11","11","1118","995","FINANCE","Series F","565",2023,"34.14791","-118.7657042","Finance / Fintech","Medium","Medium (11–25%)","2023-01","Q1","2023-01","11.0","Other / Mid-Stage","High (>$200M)",0
846,"Ajaib","Jakarta","other","non","Indonesia","Asia","67","2022-11-28","8","838","771","FINANCE","Unknown","245",2022,"-6.175247","106.8270488","Finance / Fintech","Medium","Low (≤10%)","2022-11","Q4","2022-11","8.0","Unknown / Other","High (>$200M)",0
939,"Blend","San Francisco","San Francisco Bay Area","California","USA","North America","340","2023-01-10","28","1214","874","FINANCE","Post-IPO","665",2023,"37.7792588","-122.4193286","Finance / Fintech","Large","High (26–50%)","2023-01","Q1","2023-01","28.0","Public","High (>$200M)",1
856,"Happy Money","Los Angeles","other","California","USA","North America","158","2022-11-30","34","465","307","FINANCE","Series D","191",2022,"34.0536909","-118.242766","Finance / Fintech","Medium","High (26–50%)","2022-11","Q4","2022-11","34.0","Late Stage","Medium ($50–200M)",0
860,"Ualá","Buenos Aires","other","non","Argentina","South America","53","2022-11-30","3","1767","1714","FINANCE","Series D","544",2022,"-34.6037181","-58.38153","Finance / Fintech","Medium","Low (≤10%)","2022-11","Q4","2022-11","3.0","Late Stage","High (>$200M)",0
930,"Socure","Reno","other","Nevada","USA","North America","104","2023-01-05","19","547","443","FINANCE","Series E","646",2023,"39.5261206","-119.8126581","Finance / Fintech","Medium","Medium (11–25%)","2023-01","Q1","2023-01","19.0","Late Stage","High (>$200M)",0
867,"Polly","Burlington","other","Vermont","USA","North America","47","2022-12-02","15","313","266","FINANCE","Series C","184",2022,"44.4761601","-73.212906","Finance / Fintech","Small","Medium (11–25%)","2022-12","Q4","2022-12","15.0","Late Stage","Medium ($50–200M)",0
869,"DataRails","Tel Aviv","other","non","Israel","Asia","30","2022-12-05","18","167","137","FINANCE","Series B","103",2022,"32.0852997","34.7818064","Finance / Fintech","Small","Medium (11–25%)","2022-12","Q4","2022-12","18.0","Early Stage","Medium ($50–200M)",0
