"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
651,"New Relic","San Francisco","San Francisco Bay Area","California","USA","North America","110","2022-08-18","5","2200","2090","INFRASTRUCTURE","Post-IPO","214",2022,"37.7792588","-122.4193286","Infrastructure","Medium","Low (≤10%)","2022-08","Q3","2022-08","5.0","Public","High (>$200M)",0
902,"Edgio","Phoenix","other","Arizona","USA","North America","95","2022-12-13","10","950","855","INFRASTRUCTURE","Post-IPO","462",2022,"33.4484367","-112.074141","Infrastructure","Medium","Low (≤10%)","2022-12","Q4","2022-12","10.0","Public","High (>$200M)",0
1625,"Edgio","Phoenix","other","Arizona","USA","North America","80","2024-03-04","10","800","720","INFRASTRUCTURE","Post-IPO","462",2024,"33.4484367","-112.074141","Infrastructure","Medium","Low (≤10%)","2024-03","Q1","2024-03","10.0","Public","High (>$200M)",0
84,"Sauce Labs","San Francisco","San Francisco Bay Area","California","USA","North America","30","2020-04-02","15","200","170","INFRASTRUCTURE","Unknown","151",2020,"37.7792588","-122.4193286","Infrastructure","Small","Medium (11–25%)","2020-04","Q2","2020-04","15.0","Unknown / Other","Medium ($50–200M)",0
91,"D2iQ","San Francisco","San Francisco Bay Area","California","USA","North America","34","2020-04-03","13","262","228","INFRASTRUCTURE","Series D","247",2020,"37.7792588","-122.4193286","Infrastructure","Small","Medium (11–25%)","2020-04","Q2","2020-04","13.0","Late Stage","High (>$200M)",0
1915,"Cisco","San Jose","San Francisco Bay Area","California","USA","North America","5600","2024-08-09","7","80000","74400","INFRASTRUCTURE","Post-IPO","2",2024,"37.3361663","-121.890591","Infrastructure","Large","Low (≤10%)","2024-08","Q3","2024-08","7.0","Public","Low (<$50M)",1
1184,"Megaport","Brisbane","other","Queensland","Australia","Oceana","50","2023-04-27","16","313","263","INFRASTRUCTURE","Post-IPO","98",2023,"-27.4689682","153.0234991","Infrastructure","Small","Medium (11–25%)","2023-04","Q2","2023-04","16.0","Public","Medium ($50–200M)",0
1069,"DigitalOcean","New York City","other","New York","USA","North America","200","2023-02-15","11","1818","1618","INFRASTRUCTURE","Post-IPO","491",2023,"40.7127281","-74.0060152","Infrastructure","Medium","Medium (11–25%)","2023-02","Q1","2023-02","11.0","Public","High (>$200M)",0
819,"Cisco","San Jose","San Francisco Bay Area","California","USA","North America","4100","2022-11-16","5","82000","77900","INFRASTRUCTURE","Post-IPO","2",2022,"37.3361663","-121.890591","Infrastructure","Large","Low (≤10%)","2022-11","Q4","2022-11","5.0","Public","Low (<$50M)",1
1174,"BigPanda","Redwood City","San Francisco Bay Area","California","USA","North America","40","2023-04-24","13","308","268","INFRASTRUCTURE","Series E","337",2023,"37.4863239","-122.232523","Infrastructure","Small","Medium (11–25%)","2023-04","Q2","2023-04","13.0","Late Stage","High (>$200M)",0
8,"CTO.ai","Vancouver","Cascadia","British Columbia","Canada","North America","30","2020-03-20","50","60","30","INFRASTRUCTURE","Seed","7",2020,"49.2608724","-123.113952","Infrastructure","Small","High (26–50%)","2020-03","Q1","2020-03","50.0","Early Stage","Low (<$50M)",0
1817,"Loop","Austin","other","Texas","USA","North America","23","2024-06-17","77","30","7","INSURANCE","Series A","34",2024,"30.2711286","-97.7436995","Other / Rare","Small","Very High (>50%)","2024-06","Q2","2024-06","76.7","Early Stage","Low (<$50M)",0
679,"Lawgeex","Tel Aviv","other","non","Israel","Asia","30","2022-09-06","33","91","61","LEGAL","Series C","41",2022,"32.0852997","34.7818064","Legal","Small","High (26–50%)","2022-09","Q3","2022-09","33.0","Late Stage","Low (<$50M)",0
1005,"SirionLabs","Seattle","Cascadia","Washington","USA","North America","130","2023-01-25","15","867","737","LEGAL","Series D","171",2023,"47.6038321","-122.330062","Legal","Medium","Medium (11–25%)","2023-01","Q1","2023-01","15.0","Late Stage","Medium ($50–200M)",0
137,"OneTrust","Atlanta","other","Georgia","USA","North America","150","2020-04-09","10","1500","1350","LEGAL","Series B","410",2020,"33.7489924","-84.3902644","Legal","Medium","Low (≤10%)","2020-04","Q2","2020-04","10.0","Early Stage","High (>$200M)",0
884,"Relativity","Chicago","other","Illinois","USA","North America","150","2022-12-07","10","1500","1350","LEGAL","Private Equity","125",2022,"41.8755616","-87.6244212","Legal","Medium","Low (≤10%)","2022-12","Q4","2022-12","10.0","Late Stage","Medium ($50–200M)",0
469,"Notarize","Boston","other","Massachusetts","USA","North America","110","2022-06-15","25","440","330","LEGAL","Series D","213",2022,"42.3554334","-71.060511","Legal","Medium","Medium (11–25%)","2022-06","Q2","2022-06","25.0","Late Stage","High (>$200M)",0
1029,"Exterro","Portland","Cascadia","Oregon","USA","North America","24","2023-02-01","3","800","776","LEGAL","Private Equity","100",2023,"45.5202471","-122.674194","Legal","Small","Low (≤10%)","2023-02","Q1","2023-02","3.0","Late Stage","Medium ($50–200M)",0
983,"CS Disco","Austin","other","Texas","USA","North America","62","2023-01-19","9","689","627","LEGAL","Post-IPO","233",2023,"30.2711286","-97.7436995","Legal","Medium","Low (≤10%)","2023-01","Q1","2023-01","9.0","Public","High (>$200M)",0
1521,"Veho","Boulder","other","Colorado","USA","North America","65","2024-01-25","19","342","277","LOGISTICS","Series B","299",2024,"40.0149856","-105.270545","Transportation / Logistics","Medium","Medium (11–25%)","2024-01","Q1","2024-01","19.0","Early Stage","High (>$200M)",0
457,"FarEye","New Delhi","other","Delhi","India","Asia","250","2022-06-10","30","833","583","LOGISTICS","Series E","150",2022,"28.6138954","77.2090057","Transportation / Logistics","Large","High (26–50%)","2022-06","Q2","2022-06","30.0","Late Stage","Medium ($50–200M)",1
472,"Swyft","Toronto","other","Ontario","Canada","North America","10","2022-06-15","30","33","23","LOGISTICS","Series A","20",2022,"43.6534817","-79.3839347","Transportation / Logistics","Small","High (26–50%)","2022-06","Q2","2022-06","30.3","Early Stage","Low (<$50M)",0
572,"Project44","Chicago","other","Illinois","USA","North America","63","2022-07-15","5","1260","1197","LOGISTICS","Unknown","817",2022,"41.8755616","-87.6244212","Transportation / Logistics","Medium","Low (≤10%)","2022-07","Q3","2022-07","5.0","Unknown / Other","High (>$200M)",0
1342,"Flexe","Seattle","Cascadia","Washington","USA","North America","131","2023-09-26","33","397","266","LOGISTICS","Series D","263",2023,"47.6038321","-122.330062","Transportation / Logistics","Medium","High (26–50%)","2023-09","Q3","2023-09","33.0","Late Stage","High (>$200M)",0
562,"Fabric","New York City","other","New York","USA","North America","120","2022-07-13","40","300","180","LOGISTICS","Series C","336",2022,"40.7127281","-74.0060152","Transportation / Logistics","Medium","High (26–50%)","2022-07","Q3","2022-07","40.0","Late Stage","High (>$200M)",0
1437,"Flexe","Seattle","Cascadia","Washington","USA","North America","99","2024-01-08","38","260","161","LOGISTICS","Series D","263",2024,"47.6038321","-122.330062","Transportation / Logistics","Medium","High (26–50%)","2024-01","Q1","2024-01","38.1","Late Stage","High (>$200M)",0
1363,"Convoy","Seattle","Cascadia","Washington","USA","North America","500","2023-10-19","100","500","0","LOGISTICS","Series E","1100",2023,"47.6038321","-122.330062","Transportation / Logistics","Large","Very High (>50%)","2023-10","Q4","2023-10","100.0","Late Stage","High (>$200M)",1
57,"KeepTruckin","San Francisco","San Francisco Bay Area","California","USA","North America","349","2020-03-31","18","1939","1590","LOGISTICS","Series D","227",2020,"37.7792588","-122.4193286","Transportation / Logistics","Large","Medium (11–25%)","2020-03","Q1","2020-03","18.0","Late Stage","High (>$200M)",1
537,"Sendle","Sydney","other","New South Wales","Australia","Oceana","27","2022-07-04","12","225","198","LOGISTICS","Series C","69",2022,"-33.8698439","151.2082848","Transportation / Logistics","Small","Medium (11–25%)","2022-07","Q3","2022-07","12.0","Late Stage","Medium ($50–200M)",0
60,"uShip","Austin","other","Texas","USA","North America","65","2020-03-31","37","176","111","LOGISTICS","Series D","69",2020,"30.2711286","-97.7436995","Transportation / Logistics","Medium","High (26–50%)","2020-03","Q1","2020-03","36.9","Late Stage","Medium ($50–200M)",0
804,"Forto","Berlin","other","Berlin","Germany","Europe","60","2022-11-11","8","750","690","LOGISTICS","Series D","593",2022,"52.5170365","13.3888599","Transportation / Logistics","Medium","Low (≤10%)","2022-11","Q4","2022-11","8.0","Late Stage","High (>$200M)",0
948,"Flexport","San Francisco","San Francisco Bay Area","California","USA","North America","640","2023-01-11","20","3200","2560","LOGISTICS","Series E","2400",2023,"37.7792588","-122.4193286","Transportation / Logistics","Large","Medium (11–25%)","2023-01","Q1","2023-01","20.0","Late Stage","High (>$200M)",1
1040,"Loggi","Sao Paulo","other","State of São Paulo","Brazil","South America","300","2023-02-06","7","4286","3986","LOGISTICS","Series F","507",2023,"-23.5506507","-46.6333824","Transportation / Logistics","Large","Low (≤10%)","2023-02","Q1","2023-02","7.0","Other / Mid-Stage","High (>$200M)",1
89,"Arrive Logistics","Austin","other","Texas","USA","North America","75","2020-04-03","7","1071","996","LOGISTICS","Series B","35",2020,"30.2711286","-97.7436995","Transportation / Logistics","Medium","Low (≤10%)","2020-04","Q2","2020-04","7.0","Early Stage","Low (<$50M)",0
777,"Shippo","San Francisco","San Francisco Bay Area","California","USA","North America","60","2022-11-03","20","300","240","LOGISTICS","Series E","154",2022,"37.7792588","-122.4193286","Transportation / Logistics","Medium","Medium (11–25%)","2022-11","Q4","2022-11","20.0","Late Stage","Medium ($50–200M)",0
944,"GoBolt","Toronto","other","Ontario","Canada","North America","55","2023-01-10","5","1100","1045","LOGISTICS","Series C","178",2023,"43.6534817","-79.3839347","Transportation / Logistics","Medium","Low (≤10%)","2023-01","Q1","2023-01","5.0","Late Stage","Medium ($50–200M)",0
144,"EasyPost","San Francisco","San Francisco Bay Area","California","USA","North America","50","2020-04-13","25","200","150","LOGISTICS","Series A","12",2020,"37.7792588","-122.4193286","Transportation / Logistics","Small","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Early Stage","Low (<$50M)",0
2090,"Pandion","Seattle","Cascadia","Washington","USA","North America","63","2025-01-10","100","63","0","LOGISTICS","Series B","76",2025,"47.6038321","-122.330062","Transportation / Logistics","Medium","Very High (>50%)","2025-01","Q1","2025-01","100.0","Early Stage","Medium ($50–200M)",0
177,"Bringg","Tel Aviv","other","non","Israel","Asia","10","2020-04-21","10","100","90","LOGISTICS","Series D","84",2020,"32.0852997","34.7818064","Transportation / Logistics","Small","Low (≤10%)","2020-04","Q2","2020-04","10.0","Late Stage","Medium ($50–200M)",0
1152,"Flock Freight","San Diego","other","California","USA","North America","45","2023-04-10","8","563","518","LOGISTICS","Series D","399",2023,"32.7174202","-117.162772","Transportation / Logistics","Small","Low (≤10%)","2023-04","Q2","2023-04","8.0","Late Stage","High (>$200M)",0
212,"TranSan Francisco Bay Areaix","New York City","other","New York","USA","North America","24","2020-04-29","10","240","216","LOGISTICS","Series D","128",2020,"40.7127281","-74.0060152","Transportation / Logistics","Small","Low (≤10%)","2020-04","Q2","2020-04","10.0","Late Stage","Medium ($50–200M)",0
997,"Uber Freight","San Francisco","San Francisco Bay Area","California","USA","North America","150","2023-01-23","3","5000","4850","LOGISTICS","Subsidiary","2700",2023,"37.7792588","-122.4193286","Transportation / Logistics","Medium","Low (≤10%)","2023-01","Q1","2023-01","3.0","Other / Mid-Stage","High (>$200M)",0
1221,"Project44","Chicago","other","Illinois","USA","North America","130","2023-05-26","10","1300","1170","LOGISTICS","Unknown","817",2023,"41.8755616","-87.6244212","Transportation / Logistics","Medium","Low (≤10%)","2023-05","Q2","2023-05","10.0","Unknown / Other","High (>$200M)",0
261,"Samsara","San Francisco","San Francisco Bay Area","California","USA","North America","300","2020-05-20","18","1667","1367","LOGISTICS","Series F","530",2020,"37.7792588","-122.4193286","Transportation / Logistics","Large","Medium (11–25%)","2020-05","Q2","2020-05","18.0","Other / Mid-Stage","High (>$200M)",1
640,"FourKites","Chicago","other","Illinois","USA","North America","60","2022-08-11","8","750","690","LOGISTICS","Series D","201",2022,"41.8755616","-87.6244212","Transportation / Logistics","Medium","Low (≤10%)","2022-08","Q3","2022-08","8.0","Late Stage","High (>$200M)",0
628,"Loggi","Sao Paulo","other","State of São Paulo","Brazil","South America","500","2022-08-08","15","3333","2833","LOGISTICS","Series F","507",2022,"-23.5506507","-46.6333824","Transportation / Logistics","Large","Medium (11–25%)","2022-08","Q3","2022-08","15.0","Other / Mid-Stage","High (>$200M)",1
1258,"Convoy","Seattle","Cascadia","Washington","USA","North America","30","2023-06-26","5","600","570","LOGISTICS","Series E","1100",2023,"47.6038321","-122.330062","Transportation / Logistics","Small","Low (≤10%)","2023-06","Q2","2023-06","5.0","Late Stage","High (>$200M)",0
614,"Sendy","Nairobi","other","non","Kenya","Africa","30","2022-08-02","10","300","270","LOGISTICS","Series B","26",2022,"-1.2832533","36.8172449","Transportation / Logistics","Small","Low (≤10%)","2022-08","Q3","2022-08","10.0","Early Stage","Low (<$50M)",0
613,"Sendy","Nairobi","other","non","Kenya","Africa","54","2022-08-02","20","270","216","LOGISTICS","Series B","26",2022,"-1.2832533","36.8172449","Transportation / Logistics","Medium","Medium (11–25%)","2022-08","Q3","2022-08","20.0","Early Stage","Low (<$50M)",0
1276,"Freightos","Miami","other","Florida","USA","North America","50","2023-07-12","13","385","335","LOGISTICS","Post-IPO","118",2023,"25.7741728","-80.19362","Transportation / Logistics","Small","Medium (11–25%)","2023-07","Q3","2023-07","13.0","Public","Medium ($50–200M)",0
1684,"Fabric","New York City","other","New York","USA","North America","30","2024-04-11","15","200","170","LOGISTICS","Series C","336",2024,"40.7127281","-74.0060152","Transportation / Logistics","Small","Medium (11–25%)","2024-04","Q2","2024-04","15.0","Late Stage","High (>$200M)",0
435,"Stord","Atlanta","other","Georgia","USA","North America","59","2022-06-02","8","738","679","LOGISTICS","Series D","325",2022,"33.7489924","-84.3902644","Transportation / Logistics","Medium","Low (≤10%)","2022-06","Q2","2022-06","8.0","Late Stage","High (>$200M)",0
447,"Convoy","Seattle","Cascadia","Washington","USA","North America","90","2022-06-09","7","1286","1196","LOGISTICS","Series E","1100",2022,"47.6038321","-122.330062","Transportation / Logistics","Medium","Low (≤10%)","2022-06","Q2","2022-06","7.0","Late Stage","High (>$200M)",0
923,"Augury","New York City","other","New York","USA","North America","20","2023-01-04","5","400","380","MANUFACTURING","Series E","274",2023,"40.7127281","-74.0060152","Manufacturing","Small","Low (≤10%)","2023-01","Q1","2023-01","5.0","Late Stage","High (>$200M)",0
1925,"Inuitive","Ra'anana","other","non","Israel","Asia","16","2024-08-15","20","80","64","MANUFACTURING","Unknown","23",2024,"32.1860244","34.8678359","Manufacturing","Small","Medium (11–25%)","2024-08","Q3","2024-08","20.0","Unknown / Other","Low (<$50M)",0
1299,"Augury","New York City","other","New York","USA","North America","70","2023-08-02","18","389","319","MANUFACTURING","Series E","274",2023,"40.7127281","-74.0060152","Manufacturing","Medium","Medium (11–25%)","2023-08","Q3","2023-08","18.0","Late Stage","High (>$200M)",0
1954,"ChargePoint","Campbell","San Francisco Bay Area","California","USA","North America","250","2024-09-04","15","1667","1417","MANUFACTURING","Unknown","1",2024,"37.287167","-121.949959","Manufacturing","Large","Medium (11–25%)","2024-09","Q3","2024-09","15.0","Unknown / Other","Low (<$50M)",1
117,"Button","New York City","other","New York","USA","North America","48","2020-04-08","35","137","89","MARKETING","Series C","64",2020,"40.7127281","-74.0060152","Marketing","Small","High (26–50%)","2020-04","Q2","2020-04","35.0","Late Stage","Medium ($50–200M)",0
198,"UPshow","Chicago","other","Illinois","USA","North America","19","2020-04-24","30","63","44","MARKETING","Series A","7",2020,"41.8755616","-87.6244212","Marketing","Small","High (26–50%)","2020-04","Q2","2020-04","30.2","Early Stage","Low (<$50M)",0
894,"TechTarget","Boston","other","Massachusetts","USA","North America","60","2022-12-08","5","1200","1140","MARKETING","Post-IPO","115",2022,"42.3554334","-71.060511","Marketing","Medium","Low (≤10%)","2022-12","Q4","2022-12","5.0","Public","Medium ($50–200M)",0
1083,"Basis Technologies","Chicago","other","Illinois","USA","North America","40","2023-02-21","4","1000","960","MARKETING","Series B","52",2023,"41.8755616","-87.6244212","Marketing","Small","Low (≤10%)","2023-02","Q1","2023-02","4.0","Early Stage","Medium ($50–200M)",0
205,"OpenX","Los Angeles","other","California","USA","North America","35","2020-04-28","15","233","198","MARKETING","Unknown","70",2020,"34.0536909","-118.242766","Marketing","Small","Medium (11–25%)","2020-04","Q2","2020-04","15.0","Unknown / Other","Medium ($50–200M)",0
960,"Snappy","New York City","other","New York","USA","North America","100","2023-01-15","30","333","233","MARKETING","Series C","104",2023,"40.7127281","-74.0060152","Marketing","Medium","High (26–50%)","2023-01","Q1","2023-01","30.0","Late Stage","Medium ($50–200M)",0
2172,"Brightcove","Boston","other","Massachusetts","USA","North America","198","2025-03-19","33","600","402","MARKETING","Acquired","145",2025,"42.3554334","-71.060511","Marketing","Medium","High (26–50%)","2025-03","Q1","2025-03","33.0","Other / Mid-Stage","Medium ($50–200M)",0
1156,"Permutive","London","other","England","UK","Europe","80","2023-04-11","40","200","120","MARKETING","Series C","105",2023,"51.4893335","-0.144055085","Marketing","Medium","High (26–50%)","2023-04","Q2","2023-04","40.0","Late Stage","Medium ($50–200M)",0
764,"Hootsuite","Vancouver","Cascadia","British Columbia","Canada","North America","50","2022-11-01","5","1000","950","MARKETING","Series C","300",2022,"49.2608724","-123.113952","Marketing","Small","Low (≤10%)","2022-11","Q4","2022-11","5.0","Late Stage","High (>$200M)",0
719,"Momentive","San Mateo","San Francisco Bay Area","California","USA","North America","180","2022-10-10","11","1636","1456","MARKETING","Post-IPO","1100",2022,"37.496904","-122.3330573","Marketing","Medium","Medium (11–25%)","2022-10","Q4","2022-10","11.0","Public","High (>$200M)",0
863,"Bizzabo","New York City","other","New York","USA","North America","100","2022-12-01","37","270","170","MARKETING","Series E","194",2022,"40.7127281","-74.0060152","Marketing","Medium","High (26–50%)","2022-12","Q4","2022-12","37.0","Late Stage","Medium ($50–200M)",0
172,"GumGum","Los Angeles","other","California","USA","North America","90","2020-04-20","25","360","270","MARKETING","Series D","58",2020,"34.0536909","-118.242766","Marketing","Medium","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Late Stage","Medium ($50–200M)",0
827,"&Open","Dublin","other","non","Ireland","Europe","9","2022-11-17","9","100","91","MARKETING","Series A","35",2022,"53.3493795","-6.2605593","Marketing","Small","Low (≤10%)","2022-11","Q4","2022-11","9.0","Early Stage","Low (<$50M)",0
6,"Flytedesk","Boulder","other","Colorado","USA","North America","4","2020-03-18","20","20","16","MARKETING","Seed","4",2020,"40.0149856","-105.270545","Marketing","Small","Medium (11–25%)","2020-03","Q1","2020-03","20.0","Early Stage","Low (<$50M)",0
133,"LoopMe","London","other","England","UK","Europe","8","2020-04-09","4","200","192","MARKETING","Unknown","32",2020,"51.4893335","-0.144055085","Marketing","Small","Low (≤10%)","2020-04","Q2","2020-04","4.0","Unknown / Other","Low (<$50M)",0
129,"VideoAmp","Los Angeles","other","California","USA","North America","21","2020-04-08","10","210","189","MARKETING","Series C","106",2020,"34.0536909","-118.242766","Marketing","Small","Low (≤10%)","2020-04","Q2","2020-04","10.0","Late Stage","Medium ($50–200M)",0
124,"Quantcast","San Francisco","San Francisco Bay Area","California","USA","North America","30","2020-04-08","5","600","570","MARKETING","Series C","65",2020,"37.7792588","-122.4193286","Marketing","Small","Low (≤10%)","2020-04","Q2","2020-04","5.0","Late Stage","Medium ($50–200M)",0
2162,"LiveRamp","San Francisco","San Francisco Bay Area","California","USA","North America","65","2025-03-05","5","1300","1235","MARKETING","Post-IPO","16",2025,"37.7792588","-122.4193286","Marketing","Medium","Low (≤10%)","2025-03","Q1","2025-03","5.0","Public","Low (<$50M)",0
1086,"OneFootball","Berlin","other","Berlin","Germany","Europe","150","2023-02-23","32","469","319","MARKETING","Series D","442",2023,"52.5170365","13.3888599","Marketing","Medium","High (26–50%)","2023-02","Q1","2023-02","32.0","Late Stage","High (>$200M)",0
1987,"PubMatic","Redwood City","San Francisco Bay Area","California","USA","North America","12","2024-10-07","1","1200","1188","MARKETING","Post-IPO","63",2024,"37.4863239","-122.232523","Marketing","Small","Low (≤10%)","2024-10","Q4","2024-10","1.0","Public","Medium ($50–200M)",0
1191,"Brightcove","Boston","other","Massachusetts","USA","North America","70","2023-05-03","10","700","630","MARKETING","Post-IPO","145",2023,"42.3554334","-71.060511","Marketing","Medium","Low (≤10%)","2023-05","Q2","2023-05","10.0","Public","Medium ($50–200M)",0
97,"Sojern","San Francisco","San Francisco Bay Area","California","USA","North America","300","2020-04-03","50","600","300","MARKETING","Series D","162",2020,"37.7792588","-122.4193286","Marketing","Large","High (26–50%)","2020-04","Q2","2020-04","50.0","Late Stage","Medium ($50–200M)",1
825,"Wayflyer","Dublin","other","non","Ireland","Europe","200","2022-11-16","40","500","300","MARKETING","Unknown","889",2022,"53.3493795","-6.2605593","Marketing","Medium","High (26–50%)","2022-11","Q4","2022-11","40.0","Unknown / Other","High (>$200M)",0
1905,"ShareChat","Bengaluru","other","Karnataka","India","Asia","30","2024-08-03","5","600","570","MARKETING","Series D","222",2024,"12.98815675","77.62260004","Marketing","Small","Low (≤10%)","2024-08","Q3","2024-08","5.0","Late Stage","High (>$200M)",0
88,"TripleLift","New York City","other","New York","USA","North America","23","2020-04-02","7","329","306","MARKETING","Series B","16",2020,"40.7127281","-74.0060152","Marketing","Small","Low (≤10%)","2020-04","Q2","2020-04","7.0","Early Stage","Low (<$50M)",0
1051,"GoDaddy","Phoenix","other","Arizona","USA","North America","530","2023-02-08","8","6625","6095","MARKETING","Post-IPO","800",2023,"33.4484367","-112.074141","Marketing","Large","Low (≤10%)","2023-02","Q1","2023-02","8.0","Public","High (>$200M)",1
826,"Yotpo","New York City","other","New York","USA","North America","70","2022-11-16","9","778","708","MARKETING","Unknown","436",2022,"40.7127281","-74.0060152","Marketing","Medium","Low (≤10%)","2022-11","Q4","2022-11","9.0","Unknown / Other","High (>$200M)",0
230,"Rubicon Project","Los Angeles","other","California","USA","North America","50","2020-05-06","8","625","575","MARKETING","Post-IPO","60",2020,"34.0536909","-118.242766","Marketing","Small","Low (≤10%)","2020-05","Q2","2020-05","8.0","Public","Medium ($50–200M)",0
878,"Integral Ad Science","New York City","other","New York","USA","North America","120","2022-12-07","13","923","803","MARKETING","Acquired","116",2022,"40.7127281","-74.0060152","Marketing","Medium","Medium (11–25%)","2022-12","Q4","2022-12","13.0","Other / Mid-Stage","Medium ($50–200M)",0
71,"Usermind","Seattle","Cascadia","Washington","USA","North America","15","2020-04-01","25","60","45","MARKETING","Series C","46",2020,"47.6038321","-122.330062","Marketing","Small","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Late Stage","Low (<$50M)",0
792,"Liftoff","Redwood City","San Francisco Bay Area","California","USA","North America","130","2022-11-09","15","867","737","MARKETING","Acquired","6",2022,"37.4863239","-122.232523","Marketing","Medium","Medium (11–25%)","2022-11","Q4","2022-11","15.0","Other / Mid-Stage","Low (<$50M)",0
794,"Namogoo","Tel Aviv","other","non","Israel","Asia","25","2022-11-09","15","167","142","MARKETING","Series C","69",2022,"32.0852997","34.7818064","Marketing","Small","Medium (11–25%)","2022-11","Q4","2022-11","15.0","Late Stage","Medium ($50–200M)",0
70,"Showpad","Chicago","other","Illinois","USA","North America","52","2020-04-01","12","433","381","MARKETING","Series D","159",2020,"41.8755616","-87.6244212","Marketing","Medium","Medium (11–25%)","2020-04","Q2","2020-04","12.0","Late Stage","Medium ($50–200M)",0
500,"Voyage SMS","Los Angeles","other","California","USA","North America","8","2022-06-23","13","62","54","MARKETING","Unknown","10",2022,"34.0536909","-118.242766","Marketing","Small","Medium (11–25%)","2022-06","Q2","2022-06","12.9","Unknown / Other","Low (<$50M)",0
1855,"Perion","Tel Aviv","other","non","Israel","Asia","35","2024-06-26","5","700","665","MARKETING","Post-IPO","76",2024,"32.0852997","34.7818064","Marketing","Small","Low (≤10%)","2024-06","Q2","2024-06","5.0","Public","Medium ($50–200M)",0
1851,"Perion","Tel Aviv","other","non","Israel","Asia","35","2024-06-25","5","700","665","MARKETING","Post-IPO","76",2024,"32.0852997","34.7818064","Marketing","Small","Low (≤10%)","2024-06","Q2","2024-06","5.0","Public","Medium ($50–200M)",0
654,"Amperity","Seattle","Cascadia","Washington","USA","North America","13","2022-08-20","3","433","420","MARKETING","Series D","187",2022,"47.6038321","-122.330062","Marketing","Small","Low (≤10%)","2022-08","Q3","2022-08","3.0","Late Stage","Medium ($50–200M)",0
249,"Integral Ad Science","New York City","other","New York","USA","North America","70","2020-05-14","10","700","630","MARKETING","Acquired","116",2020,"40.7127281","-74.0060152","Marketing","Medium","Low (≤10%)","2020-05","Q2","2020-05","10.0","Other / Mid-Stage","Medium ($50–200M)",0
1220,"Airmeet","Bengaluru","other","Karnataka","India","Asia","75","2023-05-25","30","250","175","MARKETING","Series B","50",2023,"12.98815675","77.62260004","Marketing","Medium","High (26–50%)","2023-05","Q2","2023-05","30.0","Early Stage","Medium ($50–200M)",0
64,"Crayon","Boston","other","Massachusetts","USA","North America","20","2020-04-01","20","100","80","MARKETING","Series A","16",2020,"42.3554334","-71.060511","Marketing","Small","Medium (11–25%)","2020-04","Q2","2020-04","20.0","Early Stage","Low (<$50M)",0
45,"Amplero","Seattle","Cascadia","Washington","USA","North America","17","2020-03-29","100","17","0","MARKETING","Series B","25",2020,"47.6038321","-122.330062","Marketing","Small","Very High (>50%)","2020-03","Q1","2020-03","100.0","Early Stage","Low (<$50M)",0
1229,"Outbrain","New York City","other","New York","USA","North America","90","2023-06-01","10","900","810","MARKETING","Post-IPO","394",2023,"40.7127281","-74.0060152","Marketing","Medium","Low (≤10%)","2023-06","Q2","2023-06","10.0","Public","High (>$200M)",0
262,"ShareChat","Bengaluru","other","Karnataka","India","Asia","101","2020-05-20","25","404","303","MARKETING","Series D","222",2020,"12.98815675","77.62260004","Marketing","Medium","Medium (11–25%)","2020-05","Q2","2020-05","25.0","Late Stage","High (>$200M)",0
265,"Cvent","Washington DC","other","District of Columbia","USA","North America","400","2020-05-21","10","4000","3600","MARKETING","Acquired","146",2020,"38.8950368","-77.0365427","Marketing","Large","Low (≤10%)","2020-05","Q2","2020-05","10.0","Other / Mid-Stage","Medium ($50–200M)",1
1020,"HubSpot","Boston","other","Massachusetts","USA","North America","500","2023-01-31","7","7143","6643","MARKETING","Post-IPO","100",2023,"42.3554334","-71.060511","Marketing","Large","Low (≤10%)","2023-01","Q1","2023-01","7.0","Public","Medium ($50–200M)",1
538,"Bizzabo","New York City","other","New York","USA","North America","120","2022-07-05","30","400","280","MARKETING","Series E","194",2022,"40.7127281","-74.0060152","Marketing","Medium","High (26–50%)","2022-07","Q3","2022-07","30.0","Late Stage","Medium ($50–200M)",0
1776,"Foursquare","New York City","other","New York","USA","North America","105","2024-05-27","25","420","315","MARKETING","Series G","390",2024,"40.7127281","-74.0060152","Marketing","Medium","Medium (11–25%)","2024-05","Q2","2024-05","25.0","Other / Mid-Stage","High (>$200M)",0
1519,"MVPindex","Austin","other","Texas","USA","North America","12","2024-01-25","30","40","28","MARKETING","Series B","27",2024,"30.2711286","-97.7436995","Marketing","Small","High (26–50%)","2024-01","Q1","2024-01","30.0","Early Stage","Low (<$50M)",0
637,"Permutive","London","other","England","UK","Europe","30","2022-08-10","12","250","220","MARKETING","Series C","105",2022,"51.4893335","-0.144055085","Marketing","Small","Medium (11–25%)","2022-08","Q3","2022-08","12.0","Late Stage","Medium ($50–200M)",0
